value_a_code,value_b_code,domain_b_code,case
MNP,Northern Mariana Islands,UNHCR,domain_a
MOZ,Mozambique,AC2,domain_a
MOZ,MOZ,CID,domain_a
MOZ,120,CRS,domain_a
MOZ,Mozambique,UNHCR,domain_a
MRT,Mauritania,AC2,domain_a
MRT,MRT,CID,domain_a
MRT,111,CRS,domain_a
MRT,Mauritania,UNHCR,domain_a
MSR,Montserrat,AC2,domain_a
MSR,MSR,CID,domain_a
MSR,118,CRS,domain_a
MSR,Montserrat,UNHCR,domain_a
MTQ,Martinique,AC2,domain_a
MTQ,MTQ,CID,domain_a
MTQ,Martinique,UNHCR,domain_a
MUS,Mauritius,AC2,domain_a
MUS,MUS,CID,domain_a
MUS,112,CRS,domain_a
MUS,Mauritius,UNHCR,domain_a
MWI,Malawi,AC2,domain_a
MWI,MWI,CID,domain_a
MWI,106,CRS,domain_a
MWI,Malawi,UNHCR,domain_a
MYS,Malaysia,AC2,domain_a
MYS,MYS,CID,domain_a
MYS,107,CRS,domain_a
MYS,Malaysia,UNHCR,domain_a
MYT,Mayotte,AC2,domain_a
MYT,MYT,CID,domain_a
MYT,Mayotte,UNHCR,domain_a
NAM,Namibia,AC2,domain_a
NAM,NAM,CID,domain_a
NAM,121,CRS,domain_a
NAM,Namibia,UNHCR,domain_a
NCL,New Caledonia,AC2,domain_a
NCL,NCL,CID,domain_a
NCL,New Caledonia,UNHCR,domain_a
NER,Niger,AC2,domain_a
NER,NER,CID,domain_a
NER,128,CRS,domain_a
NER,Niger,UNHCR,domain_a
NFK,Norfolk Island,AC2,domain_a
NFK,NFK,CID,domain_a
NFK,Norfolk Islands,UNHCR,domain_a
NGA,Nigeria,AC2,domain_a
NGA,NGA,CID,domain_a
NGA,129,CRS,domain_a
NGA,Nigeria,UNHCR,domain_a
NIC,Nicaragua,AC2,domain_a
NIC,NIC,CID,domain_a
NIC,127,CRS,domain_a
NIC,Nicaragua,UNHCR,domain_a
NIU,Niue,AC2,domain_a
NIU,NIU,CID,domain_a
NIU,130,CRS,domain_a
NIU,Niue,UNHCR,domain_a
NLD,Netherlands,AC2,domain_a
NLD,NLD,CID,domain_a
NLD,124,CRS,domain_a
NLD,Netherlands,UNHCR,domain_a
NOR,Norway,AC2,domain_a
NOR,NOR,CID,domain_a
NOR,210,CRS,domain_a
NOR,Norway,UNHCR,domain_a
NPL,Nepal,AC2,domain_a
NPL,NPL,CID,domain_a
NPL,123,CRS,domain_a
NPL,Nepal,UNHCR,domain_a
NRU,Nauru,AC2,domain_a
NRU,NRU,CID,domain_a
NRU,122,CRS,domain_a
NRU,Nauru,UNHCR,domain_a
NTZ,NTZ,CID,domain_a
NZL,New Zealand,AC2,domain_a
NZL,NZL,CID,domain_a
NZL,126,CRS,domain_a
NZL,New Zealand,UNHCR,domain_a
OMN,Oman,AC2,domain_a
OMN,OMN,CID,domain_a
OMN,131,CRS,domain_a
OMN,Oman,UNHCR,domain_a
PAK,Pakistan,AC2,domain_a
PAK,PAK,CID,domain_a
PAK,132,CRS,domain_a
PAK,Pakistan,UNHCR,domain_a
PAN,Panama,AC2,domain_a
PAN,PAN,CID,domain_a
PAN,133,CRS,domain_a
PAN,Panama,UNHCR,domain_a
PCI,PCI,CID,domain_a
PCN,Pitcairn,AC2,domain_a
PCN,PCN,CID,domain_a
PCN,138,CRS,domain_a
PCN,Pitcairn,UNHCR,domain_a
PCZ,Panama,AC2,domain_a
PCZ,PCZ,CID,domain_a
PER,Peru,AC2,domain_a
PER,PER,CID,domain_a
PER,136,CRS,domain_a
PER,Peru,UNHCR,domain_a
PHL,Philippines,AC2,domain_a
PHL,PHL,CID,domain_a
PHL,137,CRS,domain_a
PHL,Philippines,UNHCR,domain_a
PLW,Palau,AC2,domain_a
PLW,PLW,CID,domain_a
PLW,230,CRS,domain_a
PLW,Palau,UNHCR,domain_a
PNG,Papua New Guinea,AC2,domain_a
PNG,PNG,CID,domain_a
PNG,134,CRS,domain_a
PNG,Papua New Guinea,UNHCR,domain_a
POL,Poland,AC2,domain_a
POL,POL,CID,domain_a
POL,139,CRS,domain_a
POL,Poland,UNHCR,domain_a
PRI,Puerto Rico,AC2,domain_a
PRI,PRI,CID,domain_a
PRI,Puerto Rico,UNHCR,domain_a
PRK,North Korea (DPR),AC2,domain_a
PRK,PRK,CID,domain_a
PRK,93,CRS,domain_a
PRK,"Democratic Peoples Republic of Korea,",UNHCR,domain_a
PRT,Portugal,AC2,domain_a
PRT,PRT,CID,domain_a
PRT,205,CRS,domain_a
PRT,Portugal,UNHCR,domain_a
PRY,Paraguay,AC2,domain_a
PRY,PRY,CID,domain_a
PRY,135,CRS,domain_a
PRY,Paraguay,UNHCR,domain_a
PSE,"Palestinian Terr., Occupied",AC2,domain_a
PSE,PSE,CID,domain_a
PSE,211,CRS,domain_a
PSE,231,CRS,domain_a
PSE,Palestine,UNHCR,domain_a
PUS,USA Minor Outlying Islands,AC2,domain_a
PUS,PUS,CID,domain_a
PYF,French Polynesia,AC2,domain_a
PYF,PYF,CID,domain_a
PYF,French Polynesia,UNHCR,domain_a
QAT,Qatar,AC2,domain_a
QAT,QAT,CID,domain_a
QAT,140,CRS,domain_a
QAT,Qatar,UNHCR,domain_a
REU,Reunion,AC2,domain_a
REU,REU,CID,domain_a
